sample_id,class_id,class_name,species,split,sha256,path
breed-00-sample-00,0,Abyssinian,cat,train,181d0d4299958cb4511c07ee7179a7e2de1ab1152b38ef6f915c093f4862534e,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-00-sample-00.png
breed-00-sample-01,0,Abyssinian,cat,train,6c0b90380e7d1205e4de6073ffce39afe43ff04bdef984a7aea92c87fab411ae,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-00-sample-01.png
breed-00-sample-02,0,Abyssinian,cat,train,71630d71dc7b07c8ed3be0715b95c10f58acc37b683372e25d7f428e9d235084,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-00-sample-02.png
breed-00-sample-03,0,Abyssinian,cat,train,2a270ddb322017b946697311976146c4627b1b9d54d2087e130145d6b69ce306,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-00-sample-03.png
breed-00-sample-04,0,Abyssinian,cat,validation,f78baebe7800b0bc26f5a34f2e92233b957715c0019b9e976bc54c1969e06c59,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-00-sample-04.png
breed-00-sample-05,0,Abyssinian,cat,validation,01f63aa10961d21364ac126ecd2be9d9a03ef19372bc60a6bca0efb0582c0ec6,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-00-sample-05.png
breed-01-sample-00,1,American Bulldog,dog,train,3f1a072939fb73989f786d286a3104a6e4fd2c184f7d846d34a6698d42ff8d8b,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-01-sample-00.png
breed-01-sample-01,1,American Bulldog,dog,train,123224499c1b5c7ae55e19e53732cb08f9d879f16bd18c7e4ecdb7f2b9b3608d,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-01-sample-01.png
breed-01-sample-02,1,American Bulldog,dog,train,0dfd3f4b91eb2c42fef8970633f5bc46e0646dceda60f728befcf40890d2a947,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-01-sample-02.png
breed-01-sample-03,1,American Bulldog,dog,train,57fe42b9b323ffdf28d438f907eae2423d89cbd8c2c05a183002011bcb897483,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-01-sample-03.png
breed-01-sample-04,1,American Bulldog,dog,validation,78f33cf0e869d17157563374c63050db1fc9c78a9f66bcdbc4cb13a2de7b087e,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-01-sample-04.png
breed-01-sample-05,1,American Bulldog,dog,validation,2bd2950e094132f84b82eed9e5b7fd7f578135df53cf0811b6ab630589097ec6,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-01-sample-05.png
