image_id,profile,split,density,visible_count,sha256,filename
qualification-shelf-000,qualification_smoke,qualification_validation,low,30,28bc19b34d9076c3c2ada81ec1d160f47dfcd7227c9d29dfc312ed50dbabfc1d,qualification-shelf-000.png
qualification-shelf-001,qualification_smoke,qualification_validation,medium,60,31e5272cf2b21783c522e00373d52df852b4995d3c00e95ac430ea5d8884cbbf,qualification-shelf-001.png
qualification-shelf-002,qualification_smoke,qualification_validation,high,95,ea27fc0ecad2b72be9dc8a0dee9de8fa205470ca4f068f7db6a6c65a6352b3ea,qualification-shelf-002.png
qualification-shelf-003,qualification_smoke,qualification_validation,low,30,dca5d2724bd46aab65322e73a355b32c9d8e1000e10fb0e273b377fca16bc7cd,qualification-shelf-003.png
qualification-shelf-004,qualification_smoke,qualification_validation,medium,60,ecf575ab053d7a4a07a32b297c1e2979cfd050adb395711f76341f9691b52a0b,qualification-shelf-004.png
qualification-shelf-005,qualification_smoke,qualification_validation,high,95,a25c46dc9e31e342c0edc4779d83027c29792da504e6325a07facd7fc289d930,qualification-shelf-005.png
qualification-shelf-006,qualification_smoke,qualification_validation,low,30,c0e635f810c42b2397cba330bbb8de8e71ee7f094777f93bb13cbc3dc4196a53,qualification-shelf-006.png
qualification-shelf-007,qualification_smoke,qualification_validation,medium,60,68d5bbfaf2d3986f39bef3c0bc2f7e33a6612460bef37d4a568a3713384640d4,qualification-shelf-007.png
qualification-shelf-008,qualification_smoke,qualification_validation,high,95,fbb68160ecc77a609066c07cc586e60da0f5823b8a0640fe9a095ad4be9a709b,qualification-shelf-008.png
qualification-shelf-009,qualification_smoke,qualification_validation,low,30,58f92714545aebadb962e57558397d5ab2f020d2fbaa47e2ed32ef4071e75be8,qualification-shelf-009.png
qualification-shelf-010,qualification_smoke,qualification_validation,medium,60,1455e769b980d634511151068ecab7a93799536cdf214d4ae72d6933f50d095a,qualification-shelf-010.png
qualification-shelf-011,qualification_smoke,qualification_validation,high,95,c46f75d8f4f517adf496e46cdb7b5c0c49eddc1d075c4526a199d380d7c01dff,qualification-shelf-011.png
