sample_id,split,image_path,mask_path,defective,defect_area_px,defect_area_ratio,height,width
surface-000,train,data/samples/images/surface-000.png,data/samples/masks/surface-000.png,True,224,0.0162037,96,144
surface-001,train,data/samples/images/surface-001.png,data/samples/masks/surface-001.png,True,179,0.0129485,96,144
surface-002,train,data/samples/images/surface-002.png,data/samples/masks/surface-002.png,True,60,0.00434028,96,144
surface-003,train,data/samples/images/surface-003.png,data/samples/masks/surface-003.png,True,224,0.0162037,96,144
surface-004,train,data/samples/images/surface-004.png,data/samples/masks/surface-004.png,True,178,0.01287616,96,144
surface-005,train,data/samples/images/surface-005.png,data/samples/masks/surface-005.png,True,65,0.00470197,96,144
surface-006,train,data/samples/images/surface-006.png,data/samples/masks/surface-006.png,True,448,0.03240741,96,144
surface-007,train,data/samples/images/surface-007.png,data/samples/masks/surface-007.png,True,116,0.0083912,96,144
surface-008,train,data/samples/images/surface-008.png,data/samples/masks/surface-008.png,False,0,0.0,96,144
surface-009,train,data/samples/images/surface-009.png,data/samples/masks/surface-009.png,False,0,0.0,96,144
surface-010,train,data/samples/images/surface-010.png,data/samples/masks/surface-010.png,False,0,0.0,96,144
surface-011,train,data/samples/images/surface-011.png,data/samples/masks/surface-011.png,False,0,0.0,96,144
surface-012,train,data/samples/images/surface-012.png,data/samples/masks/surface-012.png,False,0,0.0,96,144
surface-013,train,data/samples/images/surface-013.png,data/samples/masks/surface-013.png,False,0,0.0,96,144
surface-014,train,data/samples/images/surface-014.png,data/samples/masks/surface-014.png,False,0,0.0,96,144
surface-015,train,data/samples/images/surface-015.png,data/samples/masks/surface-015.png,False,0,0.0,96,144
surface-016,train,data/samples/images/surface-016.png,data/samples/masks/surface-016.png,False,0,0.0,96,144
surface-017,train,data/samples/images/surface-017.png,data/samples/masks/surface-017.png,False,0,0.0,96,144
surface-018,train,data/samples/images/surface-018.png,data/samples/masks/surface-018.png,False,0,0.0,96,144
surface-019,train,data/samples/images/surface-019.png,data/samples/masks/surface-019.png,False,0,0.0,96,144
surface-020,train,data/samples/images/surface-020.png,data/samples/masks/surface-020.png,False,0,0.0,96,144
surface-021,train,data/samples/images/surface-021.png,data/samples/masks/surface-021.png,False,0,0.0,96,144
surface-022,train,data/samples/images/surface-022.png,data/samples/masks/surface-022.png,False,0,0.0,96,144
surface-023,train,data/samples/images/surface-023.png,data/samples/masks/surface-023.png,False,0,0.0,96,144
surface-024,validation,data/samples/images/surface-024.png,data/samples/masks/surface-024.png,True,224,0.0162037,96,144
surface-025,validation,data/samples/images/surface-025.png,data/samples/masks/surface-025.png,True,237,0.0171441,96,144
surface-026,validation,data/samples/images/surface-026.png,data/samples/masks/surface-026.png,True,63,0.00455729,96,144
surface-027,validation,data/samples/images/surface-027.png,data/samples/masks/surface-027.png,True,448,0.03240741,96,144
surface-028,validation,data/samples/images/surface-028.png,data/samples/masks/surface-028.png,False,0,0.0,96,144
surface-029,validation,data/samples/images/surface-029.png,data/samples/masks/surface-029.png,False,0,0.0,96,144
surface-030,validation,data/samples/images/surface-030.png,data/samples/masks/surface-030.png,False,0,0.0,96,144
surface-031,validation,data/samples/images/surface-031.png,data/samples/masks/surface-031.png,False,0,0.0,96,144
surface-032,validation,data/samples/images/surface-032.png,data/samples/masks/surface-032.png,False,0,0.0,96,144
surface-033,validation,data/samples/images/surface-033.png,data/samples/masks/surface-033.png,False,0,0.0,96,144
surface-034,validation,data/samples/images/surface-034.png,data/samples/masks/surface-034.png,False,0,0.0,96,144
surface-035,validation,data/samples/images/surface-035.png,data/samples/masks/surface-035.png,False,0,0.0,96,144
surface-036,showcase,data/samples/images/surface-036.png,data/samples/masks/surface-036.png,True,448,0.03240741,96,144
surface-037,showcase,data/samples/images/surface-037.png,data/samples/masks/surface-037.png,True,183,0.01323785,96,144
surface-038,showcase,data/samples/images/surface-038.png,data/samples/masks/surface-038.png,True,96,0.00694444,96,144
surface-039,showcase,data/samples/images/surface-039.png,data/samples/masks/surface-039.png,True,274,0.0198206,96,144
surface-040,showcase,data/samples/images/surface-040.png,data/samples/masks/surface-040.png,False,0,0.0,96,144
surface-041,showcase,data/samples/images/surface-041.png,data/samples/masks/surface-041.png,False,0,0.0,96,144
surface-042,showcase,data/samples/images/surface-042.png,data/samples/masks/surface-042.png,False,0,0.0,96,144
surface-043,showcase,data/samples/images/surface-043.png,data/samples/masks/surface-043.png,False,0,0.0,96,144
