variant_id,profile,batch_size,iteration,latency_ms
pytorch-fp32,host_cpu,1,1,0.002100
pytorch-fp32,host_cpu,1,2,0.002900
pytorch-fp32,host_cpu,1,3,0.001600
pytorch-fp32,host_cpu,1,4,0.001500
pytorch-fp32,host_cpu,1,5,0.001500
pytorch-fp32,host_cpu,1,6,0.001500
pytorch-fp32,host_cpu,1,7,0.001300
pytorch-fp32,host_cpu,1,8,0.001300
pytorch-fp32,host_cpu,1,9,0.001400
pytorch-fp32,host_cpu,1,10,0.001400
pytorch-fp32,host_cpu,1,11,0.001400
pytorch-fp32,host_cpu,1,12,0.001400
pytorch-fp32,host_cpu,1,13,0.001300
pytorch-fp32,host_cpu,1,14,0.001400
pytorch-fp32,host_cpu,1,15,0.001300
pytorch-fp32,host_cpu,1,16,0.001400
pytorch-fp32,host_cpu,1,17,0.001400
pytorch-fp32,host_cpu,1,18,0.001400
pytorch-fp32,host_cpu,1,19,0.001400
pytorch-fp32,host_cpu,1,20,0.001500
pytorch-fp32,host_cpu,1,21,0.001400
pytorch-fp32,host_cpu,1,22,0.001400
pytorch-fp32,host_cpu,1,23,0.001400
pytorch-fp32,host_cpu,1,24,0.001400
pytorch-fp32,host_cpu,1,25,0.001400
pytorch-fp32,host_cpu,1,26,0.001400
pytorch-fp32,host_cpu,1,27,0.001400
pytorch-fp32,host_cpu,1,28,0.001400
pytorch-fp32,host_cpu,1,29,0.001400
pytorch-fp32,host_cpu,1,30,0.001300
pytorch-fp32,host_cpu,1,31,0.001400
pytorch-fp32,host_cpu,1,32,0.001400
pytorch-fp32,host_cpu,1,33,0.001500
pytorch-fp32,host_cpu,1,34,0.001400
pytorch-fp32,host_cpu,1,35,0.001400
pytorch-fp32,host_cpu,1,36,0.001400
pytorch-fp32,host_cpu,1,37,0.001300
pytorch-fp32,host_cpu,1,38,0.001400
pytorch-fp32,host_cpu,1,39,0.001400
pytorch-fp32,host_cpu,1,40,0.001400
pytorch-pruned-unstructured,host_cpu,1,1,0.001600
pytorch-pruned-unstructured,host_cpu,1,2,0.002000
pytorch-pruned-unstructured,host_cpu,1,3,0.001400
pytorch-pruned-unstructured,host_cpu,1,4,0.001500
pytorch-pruned-unstructured,host_cpu,1,5,0.001400
pytorch-pruned-unstructured,host_cpu,1,6,0.001400
pytorch-pruned-unstructured,host_cpu,1,7,0.001400
pytorch-pruned-unstructured,host_cpu,1,8,0.001400
pytorch-pruned-unstructured,host_cpu,1,9,0.001400
pytorch-pruned-unstructured,host_cpu,1,10,0.001500
pytorch-pruned-unstructured,host_cpu,1,11,0.001400
pytorch-pruned-unstructured,host_cpu,1,12,0.001300
pytorch-pruned-unstructured,host_cpu,1,13,0.001400
pytorch-pruned-unstructured,host_cpu,1,14,0.001400
pytorch-pruned-unstructured,host_cpu,1,15,0.001400
pytorch-pruned-unstructured,host_cpu,1,16,0.001400
pytorch-pruned-unstructured,host_cpu,1,17,0.001400
pytorch-pruned-unstructured,host_cpu,1,18,0.001400
pytorch-pruned-unstructured,host_cpu,1,19,0.001400
pytorch-pruned-unstructured,host_cpu,1,20,0.001300
pytorch-pruned-unstructured,host_cpu,1,21,0.001400
pytorch-pruned-unstructured,host_cpu,1,22,0.001400
pytorch-pruned-unstructured,host_cpu,1,23,0.001400
pytorch-pruned-unstructured,host_cpu,1,24,0.001400
pytorch-pruned-unstructured,host_cpu,1,25,0.001400
pytorch-pruned-unstructured,host_cpu,1,26,0.001400
pytorch-pruned-unstructured,host_cpu,1,27,0.001400
pytorch-pruned-unstructured,host_cpu,1,28,0.001400
pytorch-pruned-unstructured,host_cpu,1,29,0.001400
pytorch-pruned-unstructured,host_cpu,1,30,0.001400
pytorch-pruned-unstructured,host_cpu,1,31,0.001400
pytorch-pruned-unstructured,host_cpu,1,32,0.001400
pytorch-pruned-unstructured,host_cpu,1,33,0.001400
pytorch-pruned-unstructured,host_cpu,1,34,0.001400
pytorch-pruned-unstructured,host_cpu,1,35,0.001400
pytorch-pruned-unstructured,host_cpu,1,36,0.001400
pytorch-pruned-unstructured,host_cpu,1,37,0.001400
pytorch-pruned-unstructured,host_cpu,1,38,0.001400
pytorch-pruned-unstructured,host_cpu,1,39,0.001400
pytorch-pruned-unstructured,host_cpu,1,40,0.001400
structured-channel-experimental,host_cpu,1,1,0.001300
structured-channel-experimental,host_cpu,1,2,0.001300
structured-channel-experimental,host_cpu,1,3,0.001200
structured-channel-experimental,host_cpu,1,4,0.001100
structured-channel-experimental,host_cpu,1,5,0.001100
structured-channel-experimental,host_cpu,1,6,0.001100
structured-channel-experimental,host_cpu,1,7,0.001100
structured-channel-experimental,host_cpu,1,8,0.001100
structured-channel-experimental,host_cpu,1,9,0.001100
structured-channel-experimental,host_cpu,1,10,0.001200
structured-channel-experimental,host_cpu,1,11,0.001100
structured-channel-experimental,host_cpu,1,12,0.001100
structured-channel-experimental,host_cpu,1,13,0.001100
structured-channel-experimental,host_cpu,1,14,0.001100
structured-channel-experimental,host_cpu,1,15,0.001100
structured-channel-experimental,host_cpu,1,16,0.001100
structured-channel-experimental,host_cpu,1,17,0.001400
structured-channel-experimental,host_cpu,1,18,0.001100
structured-channel-experimental,host_cpu,1,19,0.001100
structured-channel-experimental,host_cpu,1,20,0.001100
structured-channel-experimental,host_cpu,1,21,0.001200
structured-channel-experimental,host_cpu,1,22,0.001100
structured-channel-experimental,host_cpu,1,23,0.001100
structured-channel-experimental,host_cpu,1,24,0.001100
structured-channel-experimental,host_cpu,1,25,0.001100
structured-channel-experimental,host_cpu,1,26,0.001100
structured-channel-experimental,host_cpu,1,27,0.001100
structured-channel-experimental,host_cpu,1,28,0.001200
structured-channel-experimental,host_cpu,1,29,0.001100
structured-channel-experimental,host_cpu,1,30,0.001100
structured-channel-experimental,host_cpu,1,31,0.001100
structured-channel-experimental,host_cpu,1,32,0.001100
structured-channel-experimental,host_cpu,1,33,0.001100
structured-channel-experimental,host_cpu,1,34,0.001200
structured-channel-experimental,host_cpu,1,35,0.001100
structured-channel-experimental,host_cpu,1,36,0.001100
structured-channel-experimental,host_cpu,1,37,0.001100
structured-channel-experimental,host_cpu,1,38,0.001100
structured-channel-experimental,host_cpu,1,39,0.001100
structured-channel-experimental,host_cpu,1,40,0.001100
onnx-fp32,host_cpu,1,1,0.001800
onnx-fp32,host_cpu,1,2,0.001700
onnx-fp32,host_cpu,1,3,0.001400
onnx-fp32,host_cpu,1,4,0.001400
onnx-fp32,host_cpu,1,5,0.001400
onnx-fp32,host_cpu,1,6,0.001400
onnx-fp32,host_cpu,1,7,0.001500
onnx-fp32,host_cpu,1,8,0.001400
onnx-fp32,host_cpu,1,9,0.001400
onnx-fp32,host_cpu,1,10,0.001400
onnx-fp32,host_cpu,1,11,0.001300
onnx-fp32,host_cpu,1,12,0.001400
onnx-fp32,host_cpu,1,13,0.001400
onnx-fp32,host_cpu,1,14,0.001400
onnx-fp32,host_cpu,1,15,0.001400
onnx-fp32,host_cpu,1,16,0.001400
onnx-fp32,host_cpu,1,17,0.001300
onnx-fp32,host_cpu,1,18,0.001400
onnx-fp32,host_cpu,1,19,0.001400
onnx-fp32,host_cpu,1,20,0.001300
onnx-fp32,host_cpu,1,21,0.001400
onnx-fp32,host_cpu,1,22,0.001300
onnx-fp32,host_cpu,1,23,0.001300
onnx-fp32,host_cpu,1,24,0.001400
onnx-fp32,host_cpu,1,25,0.001400
onnx-fp32,host_cpu,1,26,0.001500
onnx-fp32,host_cpu,1,27,0.001300
onnx-fp32,host_cpu,1,28,0.001300
onnx-fp32,host_cpu,1,29,0.001300
onnx-fp32,host_cpu,1,30,0.001400
onnx-fp32,host_cpu,1,31,0.001400
onnx-fp32,host_cpu,1,32,0.001300
onnx-fp32,host_cpu,1,33,0.001500
onnx-fp32,host_cpu,1,34,0.001400
onnx-fp32,host_cpu,1,35,0.001300
onnx-fp32,host_cpu,1,36,0.001300
onnx-fp32,host_cpu,1,37,0.001300
onnx-fp32,host_cpu,1,38,0.001300
onnx-fp32,host_cpu,1,39,0.001300
onnx-fp32,host_cpu,1,40,0.001300
onnx-int8-ptq,host_cpu,1,1,0.003600
onnx-int8-ptq,host_cpu,1,2,0.003500
onnx-int8-ptq,host_cpu,1,3,0.003300
onnx-int8-ptq,host_cpu,1,4,0.003500
onnx-int8-ptq,host_cpu,1,5,0.003300
onnx-int8-ptq,host_cpu,1,6,0.003300
onnx-int8-ptq,host_cpu,1,7,0.003200
onnx-int8-ptq,host_cpu,1,8,0.003300
onnx-int8-ptq,host_cpu,1,9,0.003200
onnx-int8-ptq,host_cpu,1,10,0.003200
onnx-int8-ptq,host_cpu,1,11,0.003300
onnx-int8-ptq,host_cpu,1,12,0.003200
onnx-int8-ptq,host_cpu,1,13,0.003200
onnx-int8-ptq,host_cpu,1,14,0.003300
onnx-int8-ptq,host_cpu,1,15,0.003100
onnx-int8-ptq,host_cpu,1,16,0.003200
onnx-int8-ptq,host_cpu,1,17,0.003200
onnx-int8-ptq,host_cpu,1,18,0.003200
onnx-int8-ptq,host_cpu,1,19,0.003300
onnx-int8-ptq,host_cpu,1,20,0.003200
onnx-int8-ptq,host_cpu,1,21,0.003300
onnx-int8-ptq,host_cpu,1,22,0.003200
onnx-int8-ptq,host_cpu,1,23,0.003100
onnx-int8-ptq,host_cpu,1,24,0.003200
onnx-int8-ptq,host_cpu,1,25,0.003200
onnx-int8-ptq,host_cpu,1,26,0.003200
onnx-int8-ptq,host_cpu,1,27,0.003200
onnx-int8-ptq,host_cpu,1,28,0.003400
onnx-int8-ptq,host_cpu,1,29,0.003200
onnx-int8-ptq,host_cpu,1,30,0.003100
onnx-int8-ptq,host_cpu,1,31,0.003300
onnx-int8-ptq,host_cpu,1,32,0.003100
onnx-int8-ptq,host_cpu,1,33,0.003100
onnx-int8-ptq,host_cpu,1,34,0.003600
onnx-int8-ptq,host_cpu,1,35,0.003200
onnx-int8-ptq,host_cpu,1,36,0.003200
onnx-int8-ptq,host_cpu,1,37,0.003200
onnx-int8-ptq,host_cpu,1,38,0.003200
onnx-int8-ptq,host_cpu,1,39,0.003200
onnx-int8-ptq,host_cpu,1,40,0.003300
